                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2778,                0.71353,                 1.8525,                0.98941,                0.96704,                 0.9868,                0.86523,                 1.1536,                0.52489,                 1.7979,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.2819,                0.70191,                 1.8416,                0.98539,                0.97724,                0.98529,                0.86292,                 1.1604,                0.52259,                 1.7936,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.2679,                0.72473,                 1.8443,                0.97631,                0.98053,                0.98698,                  0.861,                 1.1662,                0.53575,                 1.8016,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.2514,                  0.718,                 1.8312,                0.98412,                0.98622,                0.98721,                0.87008,                 1.1403,                0.50845,                  1.793,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.2636,                0.69465,                 1.8375,                0.98847,                0.98659,                0.98828,                0.86307,                 1.1744,                0.53275,                 1.7961,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.2435,                0.69848,                 1.8297,                0.98428,                0.97581,                0.98633,                0.86158,                 1.1814,                0.52887,                 1.7976,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.2208,                0.67544,                 1.8127,                0.98945,                0.98349,                0.98759,                0.86199,                 1.1726,                0.51388,                 1.7962,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.2454,                 0.6808,                 1.8314,                0.98974,                0.98447,                0.98611,                0.84585,                 1.2174,                0.52911,                 1.8146,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.2583,                0.69012,                 1.8268,                 0.9802,                0.98366,                0.98675,                0.85789,                 1.1606,                0.52158,                 1.7883,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.2086,                0.66964,                 1.8084,                0.99145,                0.98368,                0.98967,                0.86921,                   1.13,                0.49171,                 1.7819,             0.00048406,             0.00048406,             0.00048406
                     59,                  1.228,                0.66937,                 1.8298,                0.99121,                0.98352,                0.98871,                 0.8671,                 1.1655,                0.50056,                 1.7909,             0.00047306,             0.00047306,             0.00047306
